"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CEG48652",232.084806635498,0.280140822269317,0.229617300223552,167.484601435035,7.8130279712584e-28,1.35253932962006e-27
"CEG48655",119.602693976788,-0.0996396263159088,0.211207384435948,209.222985953188,2.82170533883903e-36,5.6824777119477e-36
"CEG48656",2130.80142055618,0.121770063230868,0.462127468348065,857.364599508522,4.66670953598712e-173,6.89767691231352e-172
"CEG48657",579.629043637972,0.0192093239062735,0.253274717267223,227.336052286323,5.61631965497608e-40,1.20760778739617e-39
"CEG48658",156.19905489365,-0.0416219784706395,0.183776792694647,142.032359173963,9.13666446241048e-23,1.43443278693553e-22
"CEG48659",710.763825894046,-0.0698183217593278,0.445714406614485,1120.25099440356,2.17454994815893e-229,6.21299985188264e-228
"CEG48660",38.7856907819614,0.379017480236728,0.398855804646977,277.624559603123,2.44855760136227e-50,6.27207070190856e-50
"CEG48661",134.861488334697,1.14551649563413,0.485915095329021,305.656831139987,3.72736403314585e-56,1.05367181148999e-55
"CEG48664",102.243706573034,-0.0350399163381093,0.374931838065591,99.9036219452579,1.36074864040681e-14,1.84059839344892e-14
"CEG48665",387.328246359482,0.279411389133757,0.219025883925933,1736.57713321464,0,0
"CEG48666",162.37195409321,-0.025290594008737,0.165503833643339,524.9207435386,3.0028841692191e-102,1.73765449213402e-101
"CEG48667",266.803941738837,0.0971726025618255,0.372660568350682,700.069967493852,1.79657937923685e-139,1.73294770566931e-138
"CEG48668",45.2547986860046,-0.351756700613546,0.281542171759568,208.083674493844,4.81559797042111e-36,9.66593288715544e-36
"CEG48669",152.554547580281,-0.341630390557771,0.35873670451504,815.350073717476,4.47561592779315e-164,6.00501927418788e-163
"CEG48670",123.70309996505,0.349204075279527,0.24975375036726,487.413818336275,2.59198852343245e-94,1.33242783533877e-93
"CEG48671",718.839786260723,0.195452174891307,0.242291104706146,527.302651847804,9.39820191673271e-103,5.46804475155358e-102
"CEG48673",201.923463535167,0.00661153863964303,0.192155223865225,69.3061156629214,5.93602085249679e-09,7.21225124935538e-09
"CEG48674",328.561845079691,-0.154807853683223,0.331091491547226,371.302125096205,7.28718210806701e-70,2.58525307603264e-69
"CEG48675",138.671919328583,-0.607221317877016,0.263555031332028,315.942721774166,2.69564478679356e-58,7.91381955755909e-58
