genes	cluster
CEG38142	CEG38142	11
CEG43056	CEG43056	11
CEG36032	CEG36032	11
CEG35817	CEG35817	11
CEG47532	CEG47532	11
CEG37147	CEG37147	11
CEG43949	CEG43949	11
CEG49198	CEG49198	11
CEG43824	CEG43824	11
CEG45819	CEG45819	11
CEG36276	CEG36276	11
CEG37648	CEG37648	11
CEG40267	CEG40267	11
CEG44231	CEG44231	11
CEG49664	CEG49664	11
CEG41506	CEG41506	11
CEG45372	CEG45372	11
CEG42889	CEG42889	11
CEG40395	CEG40395	11
CEG39642	CEG39642	11
CEG41628	CEG41628	11
CEG36302	CEG36302	11
CEG37992	CEG37992	11
CEG36395	CEG36395	11
CEG48644	CEG48644	11
CEG42273	CEG42273	11
CEG35702	CEG35702	11
CEG44484	CEG44484	11
CEG44832	CEG44832	11
CEG40743	CEG40743	11
CEG44531	CEG44531	11
CEG39452	CEG39452	11
CEG46778	CEG46778	11
CEG35576	CEG35576	11
CEG37342	CEG37342	11
CEG47228	CEG47228	11
CEG42473	CEG42473	11
CEG44308	CEG44308	11
CEG40680	CEG40680	11
CEG49931	CEG49931	11
CEG39891	CEG39891	11
CEG40959	CEG40959	11
CEG46475	CEG46475	11
CEG36634	CEG36634	11
CEG38779	CEG38779	11
CEG45237	CEG45237	11
CEG36707	CEG36707	11
CEG37288	CEG37288	11
CEG50256	CEG50256	11
CEG35934	CEG35934	11
CEG40188	CEG40188	11
CEG46252	CEG46252	11
CEG45844	CEG45844	11
CEG38176	CEG38176	11
CEG41334	CEG41334	11
CEG49889	CEG49889	11
CEG38964	CEG38964	11
CEG46514	CEG46514	11
CEG44921	CEG44921	11
CEG35103	CEG35103	11
CEG46148	CEG46148	11
CEG49446	CEG49446	11
CEG48048	CEG48048	11
CEG37159	CEG37159	11
CEG48059	CEG48059	11
CEG49983	CEG49983	11
CEG40603	CEG40603	11
CEG41332	CEG41332	11
CEG40543	CEG40543	11
CEG42865	CEG42865	11
CEG37600	CEG37600	11
CEG49631	CEG49631	11
CEG50342	CEG50342	11
CEG37674	CEG37674	11
CEG38265	CEG38265	11
CEG49580	CEG49580	11
CEG44634	CEG44634	11
CEG49826	CEG49826	11
CEG42171	CEG42171	11
CEG37129	CEG37129	11
CEG47161	CEG47161	11
CEG44626	CEG44626	11
CEG42477	CEG42477	11
CEG49886	CEG49886	11
CEG44406	CEG44406	11
CEG38274	CEG38274	11
CEG38196	CEG38196	11
CEG36167	CEG36167	11
CEG40984	CEG40984	11
CEG47088	CEG47088	11
CEG38940	CEG38940	11
CEG39162	CEG39162	11
CEG43107	CEG43107	11
CEG48497	CEG48497	11
CEG42266	CEG42266	11
CEG48676	CEG48676	11
CEG45404	CEG45404	11
CEG43686	CEG43686	11
CEG46956	CEG46956	11
CEG38049	CEG38049	11
CEG43838	CEG43838	11
CEG40019	CEG40019	11
CEG38734	CEG38734	11
CEG47378	CEG47378	11
CEG49308	CEG49308	11
CEG47289	CEG47289	11
CEG45589	CEG45589	11
CEG45601	CEG45601	11
CEG39756	CEG39756	11
CEG46032	CEG46032	11
CEG40107	CEG40107	11
CEG42669	CEG42669	11
CEG43889	CEG43889	11
CEG36555	CEG36555	11
CEG50146	CEG50146	11
CEG36614	CEG36614	11
CEG35955	CEG35955	11
CEG40460	CEG40460	11
CEG38088	CEG38088	11
CEG39973	CEG39973	11
CEG36792	CEG36792	11
CEG43057	CEG43057	11
CEG39442	CEG39442	11
CEG49427	CEG49427	11
CEG47924	CEG47924	11
CEG41178	CEG41178	11
CEG37746	CEG37746	11
CEG48623	CEG48623	11
CEG47908	CEG47908	11
CEG43255	CEG43255	11
CEG44368	CEG44368	11
CEG36859	CEG36859	11
CEG49964	CEG49964	11
CEG46005	CEG46005	11
CEG41734	CEG41734	11
CEG35565	CEG35565	11
CEG42084	CEG42084	11
CEG40459	CEG40459	11
CEG40386	CEG40386	11
CEG46418	CEG46418	11
CEG48952	CEG48952	11
CEG38865	CEG38865	11
CEG50521	CEG50521	11
CEG47519	CEG47519	11
CEG35532	CEG35532	11
CEG36508	CEG36508	11
CEG37507	CEG37507	11
CEG41325	CEG41325	11
CEG46682	CEG46682	11
CEG37299	CEG37299	11
CEG36121	CEG36121	11
CEG42496	CEG42496	11
CEG40664	CEG40664	11
CEG47003	CEG47003	11
CEG41438	CEG41438	11
CEG42651	CEG42651	11
CEG41558	CEG41558	11
CEG37114	CEG37114	11
CEG44712	CEG44712	11
CEG48034	CEG48034	11
CEG46681	CEG46681	11
CEG36573	CEG36573	11
CEG35564	CEG35564	11
CEG49762	CEG49762	11
CEG36702	CEG36702	11
CEG37372	CEG37372	11
CEG50506	CEG50506	11
CEG48051	CEG48051	11
CEG45562	CEG45562	11
CEG40738	CEG40738	11
CEG41914	CEG41914	11
CEG40117	CEG40117	11
CEG42275	CEG42275	11
CEG49224	CEG49224	11
CEG36822	CEG36822	11
CEG50004	CEG50004	11
CEG50194	CEG50194	11
CEG46743	CEG46743	11
CEG36417	CEG36417	11
CEG37893	CEG37893	11
CEG43752	CEG43752	11
CEG45862	CEG45862	11
CEG46033	CEG46033	11
CEG40184	CEG40184	11
CEG38682	CEG38682	11
CEG48600	CEG48600	11
CEG49525	CEG49525	11
CEG42961	CEG42961	11
CEG47066	CEG47066	11
CEG42814	CEG42814	11
CEG45967	CEG45967	11
CEG48522	CEG48522	11
CEG47445	CEG47445	11
CEG48742	CEG48742	11
CEG39281	CEG39281	11
CEG48935	CEG48935	11
CEG47987	CEG47987	11
CEG44490	CEG44490	11
CEG42452	CEG42452	11
CEG41679	CEG41679	11
CEG48235	CEG48235	11
CEG41387	CEG41387	11
CEG41254	CEG41254	11
CEG44121	CEG44121	11
CEG36765	CEG36765	11
CEG41100	CEG41100	11
CEG42272	CEG42272	11
CEG36553	CEG36553	11
CEG41236	CEG41236	11
CEG41335	CEG41335	11
CEG39913	CEG39913	11
CEG38251	CEG38251	11
CEG44898	CEG44898	11
CEG37991	CEG37991	11
CEG50489	CEG50489	11
CEG36814	CEG36814	11
CEG41617	CEG41617	11
CEG36324	CEG36324	11
CEG35188	CEG35188	11
CEG46235	CEG46235	11
CEG50114	CEG50114	11
CEG47690	CEG47690	11
CEG36408	CEG36408	11
CEG49692	CEG49692	11
CEG43945	CEG43945	11
CEG37756	CEG37756	11
CEG49667	CEG49667	11
CEG44716	CEG44716	11
CEG50020	CEG50020	11
CEG46893	CEG46893	11
CEG46516	CEG46516	11
CEG41184	CEG41184	11
CEG47440	CEG47440	11
CEG42476	CEG42476	11
CEG49698	CEG49698	11
CEG35387	CEG35387	11
CEG43899	CEG43899	11
CEG41718	CEG41718	11
CEG39419	CEG39419	11
CEG35578	CEG35578	11
CEG46565	CEG46565	11
CEG48238	CEG48238	11
CEG46450	CEG46450	11
CEG37313	CEG37313	11
CEG38632	CEG38632	11
CEG48283	CEG48283	11
CEG47419	CEG47419	11
CEG48566	CEG48566	11
CEG39869	CEG39869	11
CEG38528	CEG38528	11
CEG45966	CEG45966	11
CEG38032	CEG38032	11
CEG43525	CEG43525	11
CEG40679	CEG40679	11
CEG39398	CEG39398	11
CEG43283	CEG43283	11
CEG37687	CEG37687	11
CEG36251	CEG36251	11
CEG49012	CEG49012	11
CEG36404	CEG36404	11
CEG37320	CEG37320	11
CEG43175	CEG43175	11
CEG49341	CEG49341	11
CEG44159	CEG44159	11
CEG46284	CEG46284	11
CEG39752	CEG39752	11
CEG41203	CEG41203	11
CEG38716	CEG38716	11
CEG45224	CEG45224	11
CEG40999	CEG40999	11
CEG41141	CEG41141	11
CEG49202	CEG49202	11
CEG46633	CEG46633	11
CEG36354	CEG36354	11
CEG44374	CEG44374	11
CEG50017	CEG50017	11
CEG35102	CEG35102	11
CEG42953	CEG42953	11
CEG40381	CEG40381	11
CEG44882	CEG44882	11
CEG44433	CEG44433	11
CEG49351	CEG49351	11
CEG45236	CEG45236	11
CEG49375	CEG49375	11
CEG43206	CEG43206	11
CEG50285	CEG50285	11
CEG49902	CEG49902	11
CEG44696	CEG44696	11
CEG50520	CEG50520	11
CEG41736	CEG41736	11
CEG42031	CEG42031	11
CEG48427	CEG48427	11
CEG45405	CEG45405	11
CEG49563	CEG49563	11
CEG45373	CEG45373	11
CEG35632	CEG35632	11
CEG45881	CEG45881	11
CEG45756	CEG45756	11
CEG39533	CEG39533	11
CEG35455	CEG35455	11
CEG48347	CEG48347	11
CEG50495	CEG50495	11
CEG38638	CEG38638	11
CEG43741	CEG43741	11
CEG47044	CEG47044	11
CEG49021	CEG49021	11
CEG49842	CEG49842	11
CEG41071	CEG41071	11
CEG46068	CEG46068	11
CEG44353	CEG44353	11
CEG48130	CEG48130	11
CEG41011	CEG41011	11
CEG50308	CEG50308	11
CEG38969	CEG38969	11
CEG50460	CEG50460	11
ENSRNAG00050153184	ENSRNAG00050153184	11
ENSRNAG00050153032	ENSRNAG00050153032	11
CEG44864	CEG44864	11
CEG47590	CEG47590	11
CEG45466	CEG45466	11
CEG49543	CEG49543	11
CEG45436	CEG45436	11
CEG39583	CEG39583	11
CEG41211	CEG41211	11
CEG36363	CEG36363	11
CEG39345	CEG39345	11
CEG47543	CEG47543	11
CEG40033	CEG40033	11
CEG49148	CEG49148	11
CEG42558	CEG42558	11
CEG49097	CEG49097	11
CEG39499	CEG39499	11
CEG48251	CEG48251	11
CEG50006	CEG50006	11
CEG42702	CEG42702	11
CEG42085	CEG42085	11
CEG44609	CEG44609	11
CEG41604	CEG41604	11
CEG42994	CEG42994	11
CEG40071	CEG40071	11
CEG46428	CEG46428	11
CEG45544	CEG45544	11
CEG37334	CEG37334	11
CEG46985	CEG46985	11
CEG41746	CEG41746	11
CEG43006	CEG43006	11
CEG47890	CEG47890	11
ENSRNAG00050153144	ENSRNAG00050153144	11
CEG37155	CEG37155	11
CEG36798	CEG36798	11
CEG41498	CEG41498	11
CEG36137	CEG36137	11
CEG37261	CEG37261	11
CEG40200	CEG40200	11
CEG47666	CEG47666	11
CEG44188	CEG44188	11
CEG36460	CEG36460	11
CEG48381	CEG48381	11
CEG35755	CEG35755	11
CEG37633	CEG37633	11
CEG44055	CEG44055	11
CEG50527	CEG50527	11
CEG49824	CEG49824	11
CEG49997	CEG49997	11
CEG40509	CEG40509	11
CEG48269	CEG48269	11
CEG43308	CEG43308	11
CEG46573	CEG46573	11
CEG42511	CEG42511	11
CEG48552	CEG48552	11
CEG45155	CEG45155	11
CEG47030	CEG47030	11
CEG44596	CEG44596	11
CEG39849	CEG39849	11
CEG45484	CEG45484	11
CEG38533	CEG38533	11
CEG48873	CEG48873	11
CEG43314	CEG43314	11
CEG39374	CEG39374	11
CEG46067	CEG46067	11
CEG46085	CEG46085	11
CEG45485	CEG45485	11
CEG46459	CEG46459	11
CEG45595	CEG45595	11
CEG41630	CEG41630	11
CEG47047	CEG47047	11
CEG43651	CEG43651	11
CEG47368	CEG47368	11
CEG36504	CEG36504	11
CEG47379	CEG47379	11
CEG45409	CEG45409	11
CEG44618	CEG44618	11
CEG48385	CEG48385	11
CEG50469	CEG50469	11
CEG39048	CEG39048	11
CEG36362	CEG36362	11
CEG44117	CEG44117	11
CEG46035	CEG46035	11
CEG48568	CEG48568	11
CEG43336	CEG43336	11
CEG41613	CEG41613	11
CEG45511	CEG45511	11
CEG42914	CEG42914	11
CEG44054	CEG44054	11
CEG46090	CEG46090	11
CEG36751	CEG36751	11
CEG47497	CEG47497	11
CEG37328	CEG37328	11
CEG40097	CEG40097	11
CEG49215	CEG49215	11
CEG41323	CEG41323	11
CEG43344	CEG43344	11
CEG48119	CEG48119	11
CEG44082	CEG44082	11
CEG40705	CEG40705	11
CEG38960	CEG38960	11
CEG43763	CEG43763	11
CEG37626	CEG37626	11
CEG38035	CEG38035	11
CEG50157	CEG50157	11
CEG43925	CEG43925	11
CEG39441	CEG39441	11
CEG42294	CEG42294	11
CEG37465	CEG37465	11
CEG48565	CEG48565	11
CEG36742	CEG36742	11
CEG46731	CEG46731	11
CEG40417	CEG40417	11
CEG46849	CEG46849	11
CEG47235	CEG47235	11
CEG45418	CEG45418	11
CEG42999	CEG42999	11
CEG42118	CEG42118	11
CEG38453	CEG38453	11
CEG39256	CEG39256	11
CEG45065	CEG45065	11
CEG36506	CEG36506	11
CEG41185	CEG41185	11
CEG48314	CEG48314	11
CEG45147	CEG45147	11
CEG41229	CEG41229	11
CEG37998	CEG37998	11
CEG40095	CEG40095	11
CEG36878	CEG36878	11
CEG37907	CEG37907	11
CEG49110	CEG49110	11
CEG35414	CEG35414	11
CEG36575	CEG36575	11
CEG40640	CEG40640	11
CEG36806	CEG36806	11
CEG48754	CEG48754	11
CEG48962	CEG48962	11
CEG46158	CEG46158	11
CEG46751	CEG46751	11
CEG43742	CEG43742	11
CEG49226	CEG49226	11
CEG41823	CEG41823	11
CEG43554	CEG43554	11
CEG40122	CEG40122	11
CEG40998	CEG40998	11
CEG44620	CEG44620	11
CEG36301	CEG36301	11
CEG49607	CEG49607	11
CEG41186	CEG41186	11
CEG50085	CEG50085	11
CEG40297	CEG40297	11
CEG38535	CEG38535	11
CEG49816	CEG49816	11
CEG49221	CEG49221	11
CEG41698	CEG41698	11
CEG40276	CEG40276	11
CEG40331	CEG40331	11
CEG46733	CEG46733	11
CEG37073	CEG37073	11
CEG37191	CEG37191	11
CEG35364	CEG35364	11
CEG42000	CEG42000	11
CEG36829	CEG36829	11
CEG42255	CEG42255	11
CEG48389	CEG48389	11
CEG37847	CEG37847	11
CEG37087	CEG37087	11
CEG48694	CEG48694	11
ENSRNAG00050153048	ENSRNAG00050153048	11
CEG42010	CEG42010	11
CEG47075	CEG47075	11
CEG40434	CEG40434	11
CEG46766	CEG46766	11
CEG41895	CEG41895	11
CEG40986	CEG40986	11
CEG40334	CEG40334	11
CEG45451	CEG45451	11
CEG35706	CEG35706	11
CEG37309	CEG37309	11
CEG48318	CEG48318	11
CEG41148	CEG41148	11
CEG44952	CEG44952	11
CEG40448	CEG40448	11
CEG38122	CEG38122	11
CEG43859	CEG43859	11
CEG50316	CEG50316	11
CEG37294	CEG37294	11
CEG50461	CEG50461	11
CEG39056	CEG39056	11
CEG44170	CEG44170	11
CEG44238	CEG44238	11
CEG41454	CEG41454	11
CEG41783	CEG41783	11
CEG41201	CEG41201	11
CEG44187	CEG44187	11
CEG46554	CEG46554	11
CEG38042	CEG38042	11
CEG44944	CEG44944	11
CEG46290	CEG46290	11
CEG43530	CEG43530	11
CEG43999	CEG43999	11
CEG41386	CEG41386	11
CEG42941	CEG42941	11
CEG44678	CEG44678	11
CEG44246	CEG44246	11
CEG45381	CEG45381	11
CEG37270	CEG37270	11
CEG42893	CEG42893	11
CEG42135	CEG42135	11
CEG37162	CEG37162	11
CEG41183	CEG41183	11
CEG42173	CEG42173	11
CEG49598	CEG49598	11
CEG41907	CEG41907	11
CEG42828	CEG42828	11
CEG38153	CEG38153	11
CEG43190	CEG43190	11
CEG40526	CEG40526	11
CEG42640	CEG42640	11
CEG49436	CEG49436	11
CEG41102	CEG41102	11
CEG44149	CEG44149	11
CEG37123	CEG37123	11
CEG35945	CEG35945	11
CEG41694	CEG41694	11
CEG39921	CEG39921	11
CEG35079	CEG35079	11
CEG44136	CEG44136	11
CEG41945	CEG41945	11
CEG48723	CEG48723	11
CEG45443	CEG45443	11
CEG39067	CEG39067	11
CEG48752	CEG48752	11
CEG37395	CEG37395	11
CEG38131	CEG38131	11
CEG35239	CEG35239	11
CEG47326	CEG47326	11
CEG46635	CEG46635	11
CEG47350	CEG47350	11
CEG46989	CEG46989	11
CEG49769	CEG49769	11
CEG44067	CEG44067	11
CEG49294	CEG49294	11
CEG37672	CEG37672	11
CEG49753	CEG49753	11
CEG39222	CEG39222	11
CEG46019	CEG46019	11
CEG46683	CEG46683	11
CEG47304	CEG47304	11
CEG41952	CEG41952	11
CEG36482	CEG36482	11
CEG41486	CEG41486	11
CEG38513	CEG38513	11
CEG43656	CEG43656	11
CEG42467	CEG42467	11
CEG36387	CEG36387	11
CEG48380	CEG48380	11
CEG43523	CEG43523	11
CEG42150	CEG42150	11
CEG42658	CEG42658	11
CEG47510	CEG47510	11
CEG37221	CEG37221	11
CEG47069	CEG47069	11
CEG43916	CEG43916	11
CEG36140	CEG36140	11
CEG36478	CEG36478	11
CEG43007	CEG43007	11
CEG39131	CEG39131	11
CEG43930	CEG43930	11
CEG36275	CEG36275	11
CEG40100	CEG40100	11
CEG48685	CEG48685	11
CEG48738	CEG48738	11
CEG40168	CEG40168	11
CEG45465	CEG45465	11
CEG35402	CEG35402	11
CEG39852	CEG39852	11
CEG38311	CEG38311	11
CEG40495	CEG40495	11
CEG50430	CEG50430	11
CEG36787	CEG36787	11
CEG42093	CEG42093	11
CEG40812	CEG40812	11
CEG48909	CEG48909	11
CEG36937	CEG36937	12
CEG37743	CEG37743	12
CEG40779	CEG40779	12
CEG42230	CEG42230	12
CEG43155	CEG43155	12
CEG44427	CEG44427	12
CEG46742	CEG46742	12
CEG47659	CEG47659	12
CEG49036	CEG49036	12
CEG49187	CEG49187	12
CEG49715	CEG49715	12
CEG50183	CEG50183	12
CEG37143	CEG37143	12
CEG45459	CEG45459	12
CEG39397	CEG39397	12
CEG40075	CEG40075	12
CEG39738	CEG39738	12
CEG47431	CEG47431	12
CEG40789	CEG40789	12
CEG43673	CEG43673	12
CEG46819	CEG46819	12
CEG48340	CEG48340	12
CEG48748	CEG48748	12
CEG41610	CEG41610	12
CEG45269	CEG45269	12
CEG35879	CEG35879	12
CEG43083	CEG43083	12
CEG35416	CEG35416	12
CEG41651	CEG41651	12
CEG36533	CEG36533	12
CEG39284	CEG39284	12
CEG50360	CEG50360	12
CEG39750	CEG39750	12
CEG41331	CEG41331	12
CEG38420	CEG38420	12
CEG39539	CEG39539	12
CEG50038	CEG50038	12
CEG47871	CEG47871	12
CEG40927	CEG40927	12
CEG35851	CEG35851	12
CEG48892	CEG48892	12
CEG41276	CEG41276	12
CEG41925	CEG41925	12
CEG48915	CEG48915	12
CEG50378	CEG50378	12
CEG42580	CEG42580	12
CEG46047	CEG46047	12
CEG49888	CEG49888	12
CEG37310	CEG37310	12
CEG50310	CEG50310	12
CEG45548	CEG45548	12
CEG39731	CEG39731	12
CEG37814	CEG37814	12
CEG47486	CEG47486	12
CEG42503	CEG42503	12
CEG41459	CEG41459	12
CEG44174	CEG44174	12
CEG41117	CEG41117	12
CEG42350	CEG42350	12
CEG46302	CEG46302	12
CEG50509	CEG50509	12
CEG41550	CEG41550	12
CEG49850	CEG49850	12
CEG48175	CEG48175	12
CEG37712	CEG37712	12
CEG36521	CEG36521	12
CEG36356	CEG36356	12
CEG49588	CEG49588	12
CEG49604	CEG49604	12
CEG42307	CEG42307	12
CEG37597	CEG37597	12
CEG39874	CEG39874	12
CEG38679	CEG38679	12
CEG35432	CEG35432	12
CEG38039	CEG38039	12
CEG36537	CEG36537	12
CEG42839	CEG42839	12
CEG46057	CEG46057	12
CEG43224	CEG43224	12
CEG40358	CEG40358	12
CEG46797	CEG46797	12
CEG46193	CEG46193	12
CEG48556	CEG48556	12
CEG41501	CEG41501	12
CEG43084	CEG43084	12
CEG39993	CEG39993	12
CEG44956	CEG44956	12
CEG41409	CEG41409	12
CEG48354	CEG48354	12
CEG48491	CEG48491	12
CEG37275	CEG37275	12
CEG38287	CEG38287	12
CEG41516	CEG41516	12
CEG36938	CEG36938	12
CEG37801	CEG37801	12
CEG45185	CEG45185	12
CEG45014	CEG45014	12
CEG47848	CEG47848	12
CEG46292	CEG46292	12
CEG48651	CEG48651	12
CEG46354	CEG46354	12
CEG36899	CEG36899	12
CEG41589	CEG41589	12
CEG37106	CEG37106	12
CEG39638	CEG39638	12
CEG35479	CEG35479	12
CEG39489	CEG39489	12
CEG40319	CEG40319	12
CEG37003	CEG37003	12
CEG37336	CEG37336	12
CEG42842	CEG42842	12
CEG35116	CEG35116	12
CEG48186	CEG48186	12
CEG35339	CEG35339	12
CEG37449	CEG37449	12
CEG36584	CEG36584	12
CEG40581	CEG40581	12
CEG49603	CEG49603	12
CEG46007	CEG46007	12
CEG43173	CEG43173	12
CEG38278	CEG38278	12
CEG40866	CEG40866	12
CEG45097	CEG45097	12
CEG44015	CEG44015	12
CEG42195	CEG42195	12
CEG40189	CEG40189	12
CEG37652	CEG37652	12
CEG45108	CEG45108	12
CEG39798	CEG39798	12
CEG39958	CEG39958	12
CEG42183	CEG42183	12
CEG40948	CEG40948	12
CEG40887	CEG40887	12
CEG45458	CEG45458	12
CEG47444	CEG47444	12
CEG45798	CEG45798	12
CEG39074	CEG39074	12
CEG46177	CEG46177	12
CEG41406	CEG41406	12
CEG49062	CEG49062	12
CEG46896	CEG46896	12
CEG49415	CEG49415	12
CEG49144	CEG49144	12
CEG39850	CEG39850	12
CEG46392	CEG46392	12
CEG50015	CEG50015	12
CEG36235	CEG36235	12
CEG42382	CEG42382	12
CEG45669	CEG45669	12
CEG46173	CEG46173	12
CEG36205	CEG36205	12
CEG49818	CEG49818	12
CEG38336	CEG38336	12
CEG48353	CEG48353	12
CEG42729	CEG42729	12
CEG35537	CEG35537	12
CEG37195	CEG37195	12
CEG48807	CEG48807	12
CEG39753	CEG39753	12
CEG49186	CEG49186	12
CEG37117	CEG37117	12
CEG40877	CEG40877	12
CEG40764	CEG40764	12
CEG36652	CEG36652	12
CEG43570	CEG43570	12
CEG42051	CEG42051	12
CEG36050	CEG36050	12
CEG36402	CEG36402	12
CEG35656	CEG35656	12
CEG41168	CEG41168	12
CEG45715	CEG45715	12
CEG48950	CEG48950	12
CEG40768	CEG40768	12
CEG43158	CEG43158	12
CEG45367	CEG45367	12
CEG41025	CEG41025	12
CEG38211	CEG38211	12
CEG46547	CEG46547	12
CEG38164	CEG38164	12
CEG41578	CEG41578	12
CEG48928	CEG48928	12
CEG41270	CEG41270	12
CEG44089	CEG44089	12
CEG39107	CEG39107	12
CEG47178	CEG47178	12
CEG41968	CEG41968	12
CEG43172	CEG43172	12
CEG35655	CEG35655	12
CEG46395	CEG46395	12
CEG39517	CEG39517	12
CEG47772	CEG47772	12
CEG48172	CEG48172	12
CEG47724	CEG47724	12
CEG39549	CEG39549	12
CEG35692	CEG35692	12
CEG40351	CEG40351	12
CEG43461	CEG43461	12
CEG44880	CEG44880	12
CEG35737	CEG35737	12
CEG40872	CEG40872	12
CEG36135	CEG36135	12
CEG36729	CEG36729	12
CEG42725	CEG42725	12
CEG41253	CEG41253	12
CEG36328	CEG36328	12
CEG44418	CEG44418	12
CEG42526	CEG42526	12
CEG40390	CEG40390	12
CEG37105	CEG37105	12
CEG35772	CEG35772	12
CEG47048	CEG47048	12
CEG44469	CEG44469	12
CEG42760	CEG42760	12
CEG35905	CEG35905	12
CEG37353	CEG37353	12
CEG39227	CEG39227	12
CEG42860	CEG42860	12
CEG37037	CEG37037	12
CEG42811	CEG42811	12
CEG47058	CEG47058	12
CEG49258	CEG49258	12
CEG49241	CEG49241	12
CEG46981	CEG46981	12
CEG48999	CEG48999	12
CEG50195	CEG50195	12
CEG46343	CEG46343	12
CEG47952	CEG47952	12
CEG42636	CEG42636	12
CEG35819	CEG35819	12
CEG48766	CEG48766	12
CEG44679	CEG44679	12
CEG49142	CEG49142	12
CEG47268	CEG47268	12
CEG45619	CEG45619	12
CEG49996	CEG49996	12
CEG46510	CEG46510	12
CEG44845	CEG44845	12
CEG42018	CEG42018	12
CEG46379	CEG46379	12
CEG40302	CEG40302	12
CEG48891	CEG48891	12
CEG44344	CEG44344	12
CEG43803	CEG43803	12
CEG38162	CEG38162	12
CEG48129	CEG48129	12
CEG42322	CEG42322	12
CEG36452	CEG36452	12
CEG42495	CEG42495	12
CEG47451	CEG47451	12
CEG49400	CEG49400	12
CEG40288	CEG40288	12
CEG39189	CEG39189	12
CEG39565	CEG39565	12
CEG36867	CEG36867	12
CEG42789	CEG42789	12
CEG39252	CEG39252	12
CEG49114	CEG49114	12
CEG48188	CEG48188	12
CEG37377	CEG37377	12
CEG43415	CEG43415	12
CEG41061	CEG41061	12
CEG45747	CEG45747	12
CEG38497	CEG38497	12
CEG38434	CEG38434	12
CEG47540	CEG47540	12
CEG40621	CEG40621	12
CEG39288	CEG39288	12
CEG49066	CEG49066	12
CEG36148	CEG36148	12
CEG35924	CEG35924	12
CEG45796	CEG45796	12
CEG45653	CEG45653	12
CEG45208	CEG45208	12
CEG36956	CEG36956	12
CEG42711	CEG42711	12
CEG47110	CEG47110	12
CEG41522	CEG41522	12
CEG39888	CEG39888	12
CEG49665	CEG49665	12
CEG39811	CEG39811	12
CEG39791	CEG39791	12
CEG47153	CEG47153	12
CEG48268	CEG48268	12
CEG35449	CEG35449	12
CEG37488	CEG37488	12
CEG48351	CEG48351	12
CEG48020	CEG48020	12
CEG46344	CEG46344	12
CEG46362	CEG46362	12
CEG47175	CEG47175	12
CEG48430	CEG48430	12
CEG43169	CEG43169	12
CEG38332	CEG38332	12
CEG44577	CEG44577	12
CEG47063	CEG47063	12
CEG37442	CEG37442	12
CEG39381	CEG39381	12
CEG38978	CEG38978	12
CEG39927	CEG39927	12
CEG35389	CEG35389	12
CEG44347	CEG44347	12
CEG48847	CEG48847	12
CEG40241	CEG40241	12
CEG46929	CEG46929	12
CEG49313	CEG49313	12
CEG48585	CEG48585	12
CEG43221	CEG43221	12
CEG44647	CEG44647	12
CEG50428	CEG50428	12
CEG48435	CEG48435	12
CEG38230	CEG38230	12
CEG50446	CEG50446	12
CEG44351	CEG44351	12
CEG43129	CEG43129	12
CEG37553	CEG37553	12
CEG36986	CEG36986	12
CEG40688	CEG40688	12
CEG48145	CEG48145	12
CEG39800	CEG39800	12
CEG35098	CEG35098	12
CEG40862	CEG40862	12
CEG37863	CEG37863	12
CEG49136	CEG49136	12
CEG39453	CEG39453	12
CEG49274	CEG49274	12
CEG43278	CEG43278	12
CEG42574	CEG42574	12
CEG37058	CEG37058	12
CEG49806	CEG49806	12
CEG36590	CEG36590	12
CEG40021	CEG40021	12
CEG39192	CEG39192	12
CEG49257	CEG49257	12
CEG37782	CEG37782	12
CEG41364	CEG41364	12
CEG47986	CEG47986	12
CEG42777	CEG42777	12
CEG50066	CEG50066	12
CEG44748	CEG44748	12
CEG37486	CEG37486	12
CEG37199	CEG37199	12
CEG44071	CEG44071	12
CEG40983	CEG40983	12
CEG41044	CEG41044	12
CEG48655	CEG48655	12
CEG48855	CEG48855	12
CEG49370	CEG49370	12
CEG42509	CEG42509	12
CEG37860	CEG37860	12
CEG35425	CEG35425	12
CEG35381	CEG35381	12
CEG39627	CEG39627	12
CEG47910	CEG47910	12
CEG37292	CEG37292	12
CEG40427	CEG40427	12
CEG37153	CEG37153	12
CEG39655	CEG39655	12
CEG45491	CEG45491	12
CEG45293	CEG45293	12
CEG42642	CEG42642	12
CEG42596	CEG42596	12
CEG35294	CEG35294	12
CEG36799	CEG36799	12
CEG36592	CEG36592	12
CEG44302	CEG44302	12
CEG38208	CEG38208	12
CEG40863	CEG40863	12
CEG45284	CEG45284	12
CEG39299	CEG39299	12
CEG41576	CEG41576	12
CEG38345	CEG38345	12
CEG50343	CEG50343	12
CEG36840	CEG36840	12
CEG40277	CEG40277	12
CEG38062	CEG38062	12
CEG45084	CEG45084	12
CEG40956	CEG40956	12
CEG49918	CEG49918	12
CEG38109	CEG38109	12
CEG44765	CEG44765	12
CEG37464	CEG37464	12
CEG41402	CEG41402	12
CEG41282	CEG41282	12
CEG37205	CEG37205	12
CEG39386	CEG39386	12
CEG37165	CEG37165	12
CEG48346	CEG48346	12
CEG39368	CEG39368	12
CEG35157	CEG35157	12
CEG43885	CEG43885	12
CEG49395	CEG49395	12
CEG40668	CEG40668	12
CEG46375	CEG46375	12
CEG47111	CEG47111	12
CEG38676	CEG38676	12
CEG43540	CEG43540	12
CEG42855	CEG42855	12
